classifier_name,dataset_name,accuracy
SPARTAN,UWaveGestureLibraryX,0.8360538698960884
SAX,UWaveGestureLibraryY,0.8351556059989209
SFA,UWaveGestureLibraryY,0.8291403344552073
SPARTAN,UWaveGestureLibraryY,0.8387506069182141
SAX,UWaveGestureLibraryZ,0.8285454024704503
SFA,UWaveGestureLibraryZ,0.8293255199544534
SPARTAN,UWaveGestureLibraryZ,0.8374457290166415
SAX,Wafer,0.5535562076752603
SFA,Wafer,0.5563576877359949
SPARTAN,Wafer,0.503651511782001
SAX,Wine,0.4959868959868959
SFA,Wine,0.4968058968058968
SPARTAN,Wine,0.5013923013923012
SAX,WordSynonyms,0.8772273016183446
SFA,WordSynonyms,0.8883823888916051
SPARTAN,WordSynonyms,0.8869823497775388
SAX,Worms,0.6322414261152837
SFA,Worms,0.6431001719301421
SPARTAN,Worms,0.6418483998431515
SAX,WormsTwoClass,0.4992760836123427
SFA,WormsTwoClass,0.500539920972461
SPARTAN,WormsTwoClass,0.4981660784846017
SAX,Yoga,0.5002895275887091
SFA,Yoga,0.5012137378636318
SPARTAN,Yoga,0.5011529848347065
